,date,confirmed,deaths,recovered
0,2020-1-22,0,0,0
1,2020-1-23,0,0,0
2,2020-1-24,0,0,0
3,2020-1-25,0,0,0
4,2020-1-26,0,0,0
5,2020-1-27,0,0,0
6,2020-1-28,0,0,0
7,2020-1-29,0,0,0
8,2020-1-30,1,0,0
9,2020-1-31,1,0,0
10,2020-2-1,1,0,0
11,2020-2-2,2,0,0
12,2020-2-3,3,0,0
13,2020-2-4,3,0,0
14,2020-2-5,3,0,0
15,2020-2-6,3,0,0
16,2020-2-7,3,0,0
17,2020-2-8,3,0,0
18,2020-2-9,3,0,0
19,2020-2-10,3,0,0
20,2020-2-11,3,0,0
21,2020-2-12,3,0,0
22,2020-2-13,3,0,0
23,2020-2-14,3,0,0
24,2020-2-15,3,0,0
25,2020-2-16,3,0,3
26,2020-2-17,3,0,3
27,2020-2-18,3,0,3
28,2020-2-19,3,0,3
29,2020-2-20,3,0,3
30,2020-2-21,3,0,3
31,2020-2-22,3,0,3
32,2020-2-23,3,0,3
33,2020-2-24,3,0,3
34,2020-2-25,3,0,3
35,2020-2-26,3,0,3
36,2020-2-27,3,0,3
37,2020-2-28,3,0,3
38,2020-2-29,3,0,3
39,2020-3-1,3,0,3
40,2020-3-2,5,0,3
41,2020-3-3,5,0,3
42,2020-3-4,28,0,3
43,2020-3-5,30,0,3
44,2020-3-6,31,0,3
45,2020-3-7,34,0,3
46,2020-3-8,39,0,3
47,2020-3-9,43,0,3
48,2020-3-10,56,0,4
49,2020-3-11,62,1,4
50,2020-3-12,73,1,4
51,2020-3-13,82,2,4
52,2020-3-14,102,2,4
53,2020-3-15,113,2,13
54,2020-3-16,119,2,13
55,2020-3-17,142,3,14
56,2020-3-18,156,3,14
57,2020-3-19,194,4,15
58,2020-3-20,244,5,20
59,2020-3-21,330,4,23
60,2020-3-22,396,7,27
61,2020-3-23,499,10,27
62,2020-3-24,536,10,40
63,2020-3-25,657,12,43
64,2020-3-26,727,20,45
65,2020-3-27,887,20,73
66,2020-3-28,987,24,84
67,2020-3-29,1024,27,95
68,2020-3-30,1251,32,102
69,2020-3-31,1397,35,123
70,2020-4-1,1998,58,148
71,2020-4-2,2543,72,191
72,2020-4-3,2567,72,192
73,2020-4-4,3082,86,229
74,2020-4-5,3588,99,229
75,2020-4-6,4778,136,375
76,2020-4-7,5311,150,421
77,2020-4-8,5916,178,506
78,2020-4-9,6725,226,620
79,2020-4-10,7598,246,774
80,2020-4-11,8446,288,969
81,2020-4-12,9205,331,1080
82,2020-4-13,10453,358,1181
83,2020-4-14,11487,393,1359
84,2020-4-15,12322,405,1432
85,2020-4-16,13430,448,1768
86,2020-4-17,14352,486,2041
87,2020-4-18,15722,521,2463
88,2020-4-19,17615,559,2854
89,2020-4-20,18539,592,3273
90,2020-4-21,20080,645,3975
91,2020-4-22,21370,681,4370
92,2020-4-23,23077,721,5012
93,2020-4-24,24530,780,5498
94,2020-4-25,26283,825,5939
95,2020-4-26,27890,881,6523
96,2020-4-27,29451,939,7137
97,2020-4-28,31324,1008,7747
98,2020-4-29,33062,1079,8437
99,2020-4-30,34863,1154,9068
100,2020-5-1,37257,1223,10007
101,2020-5-2,39699,1323,10819
102,2020-5-3,42505,1391,11775
103,2020-5-4,46437,1566,12847
104,2020-5-5,49400,1693,14142
105,2020-5-6,52987,1785,15331
106,2020-5-7,56351,1889,16776
107,2020-5-8,59695,1985,17887
108,2020-5-9,62808,2101,19301
109,2020-5-10,67161,2212,20969
110,2020-5-11,70768,2294,22549
111,2020-5-12,74292,2415,24420
112,2020-5-13,78055,2551,26400
113,2020-5-14,81997,2649,27969
114,2020-5-15,85784,2753,30258
115,2020-5-16,90648,2871,34224
116,2020-5-17,95698,3025,36795
117,2020-5-18,100328,3156,39233
118,2020-5-19,106475,3302,42309
119,2020-5-20,112028,3434,45422
120,2020-5-21,118226,3584,48553
121,2020-5-22,124794,3726,51824
122,2020-5-23,131423,3868,54385
123,2020-5-24,138536,4024,57692
124,2020-5-25,144950,4172,60706
125,2020-5-26,150793,4344,64277
126,2020-5-27,158086,4534,67749
127,2020-5-28,165386,4711,70920
128,2020-5-29,173491,4980,82627
129,2020-5-30,181827,5185,86936
130,2020-5-31,190609,5408,91852
131,2020-6-1,198370,5608,95754
132,2020-6-2,207191,5829,100285
133,2020-6-3,216824,6088,104071
134,2020-6-4,226713,6363,108450
135,2020-6-5,236184,6649,113233
136,2020-6-6,246622,6946,118695
137,2020-6-7,257486,7207,123848
138,2020-6-8,265928,7473,129095
139,2020-6-9,276146,7750,134670
140,2020-6-10,286605,8102,135206
141,2020-6-11,297535,8498,147195
142,2020-6-12,308993,8884,154330
143,2020-6-13,320922,9195,162379
